index,name,symbol,Difficulty Lvl,Move Rate,Armor Class,Magic Resist,Alignment,generation flags,Attack 1,Attack 2,Attack 3,Attack 4,Attack 5,Attack 6,Weight,Nutrition,Sound,Size,Resistance,Resist Conveyed,Flags 1,Flags 2,Flags 3,color,Comment,,
14,coyote,S_DOG,1,12,7,0,0,G_GENO | G_SGROUP | 1,"ATTK(AT_BITE, AD_PHYS, 1, 4)",NO_ATTK,NO_ATTK,NO_ATTK,NO_ATTK,NO_ATTK,300,250,MS_BARK,MZ_SMALL,,,M1_ANIMAL | M1_NOHANDS | M1_CARNIVORE,M2_HOSTILE,M3_INFRAVISIBLE,CLR_BROWN,dogs & other canines,,
15,werejackal,S_DOG,2,12,7,10,-7,G_NOGEN | G_NOCORPSE,"ATTK(AT_BITE, AD_WERE, 1, 4)",NO_ATTK,NO_ATTK,NO_ATTK,NO_ATTK,NO_ATTK,300,250,MS_BARK,MZ_SMALL,MR_POISON,,M1_NOHANDS | M1_POIS | M1_REGEN | M1_CARNIVORE,M2_NOPOLY | M2_WERE | M2_HOSTILE,M3_INFRAVISIBLE,CLR_BROWN,dogs & other canines,,
16,little dog,S_DOG,2,18,6,0,0,G_GENO | 1,"ATTK(AT_BITE, AD_PHYS, 1, 6)",NO_ATTK,NO_ATTK,NO_ATTK,NO_ATTK,NO_ATTK,150,150,MS_BARK,MZ_SMALL,,,M1_ANIMAL | M1_NOHANDS | M1_CARNIVORE,M2_DOMESTIC,M3_INFRAVISIBLE,HI_DOMESTIC,dogs & other canines,,
17,dingo,S_DOG,4,16,5,0,0,G_GENO | 1,"ATTK(AT_BITE, AD_PHYS, 1, 6)",NO_ATTK,NO_ATTK,NO_ATTK,NO_ATTK,NO_ATTK,400,200,MS_BARK,MZ_MEDIUM,,,M1_ANIMAL | M1_NOHANDS | M1_CARNIVORE,M2_HOSTILE,M3_INFRAVISIBLE,CLR_YELLOW,dogs & other canines,,
18,dog,S_DOG,4,16,5,0,0,G_GENO | 1,"ATTK(AT_BITE, AD_PHYS, 1, 6)",NO_ATTK,NO_ATTK,NO_ATTK,NO_ATTK,NO_ATTK,400,200,MS_BARK,MZ_MEDIUM,,,M1_ANIMAL | M1_NOHANDS | M1_CARNIVORE,M2_DOMESTIC,M3_INFRAVISIBLE,HI_DOMESTIC,dogs & other canines,,
19,large dog,S_DOG,6,15,4,0,0,G_GENO | 1,"ATTK(AT_BITE, AD_PHYS, 2, 4)",NO_ATTK,NO_ATTK,NO_ATTK,NO_ATTK,NO_ATTK,800,250,MS_BARK,MZ_MEDIUM,,,M1_ANIMAL | M1_NOHANDS | M1_CARNIVORE,M2_STRONG | M2_DOMESTIC,M3_INFRAVISIBLE,HI_DOMESTIC,dogs & other canines,,
20,wolf,S_DOG,5,12,4,0,0,G_GENO | G_SGROUP | 2,"ATTK(AT_BITE, AD_PHYS, 2, 4)",NO_ATTK,NO_ATTK,NO_ATTK,NO_ATTK,NO_ATTK,500,250,MS_BARK,MZ_MEDIUM,,,M1_ANIMAL | M1_NOHANDS | M1_CARNIVORE,M2_HOSTILE,M3_INFRAVISIBLE,CLR_BROWN,dogs & other canines,,
21,werewolf,S_DOG,5,12,4,20,-7,G_NOGEN | G_NOCORPSE,"ATTK(AT_BITE, AD_WERE, 2, 6)",NO_ATTK,NO_ATTK,NO_ATTK,NO_ATTK,NO_ATTK,500,250,MS_BARK,MZ_MEDIUM,MR_POISON,,M1_NOHANDS | M1_POIS | M1_REGEN | M1_CARNIVORE,M2_NOPOLY | M2_WERE | M2_HOSTILE,M3_INFRAVISIBLE,CLR_BROWN,dogs & other canines,,
22,winter wolf cub,S_DOG,5,12,4,0,-5,G_NOHELL | G_GENO | G_SGROUP | 2,"ATTK(AT_BITE, AD_PHYS, 1, 8)","ATTK(AT_BREA, AD_COLD, 1, 8)",NO_ATTK,NO_ATTK,NO_ATTK,NO_ATTK,250,200,MS_BARK,MZ_SMALL,MR_COLD,MR_COLD,M1_ANIMAL | M1_NOHANDS | M1_CARNIVORE,M2_HOSTILE,,CLR_CYAN,dogs & other canines,,
23,warg,S_DOG,7,12,4,0,-5,G_GENO | G_SGROUP | 2,"ATTK(AT_BITE, AD_PHYS, 2, 6)",NO_ATTK,NO_ATTK,NO_ATTK,NO_ATTK,NO_ATTK,850,350,MS_BARK,MZ_MEDIUM,,,M1_ANIMAL | M1_NOHANDS | M1_CARNIVORE,M2_HOSTILE,M3_INFRAVISIBLE,CLR_BROWN,dogs & other canines,,
24,winter wolf,S_DOG,7,12,4,20,0,G_NOHELL | G_GENO | 1,"ATTK(AT_BITE, AD_PHYS, 2, 6)","ATTK(AT_BREA, AD_COLD, 2, 6)",NO_ATTK,NO_ATTK,NO_ATTK,NO_ATTK,700,300,MS_BARK,MZ_LARGE,MR_COLD,MR_COLD,M1_ANIMAL | M1_NOHANDS | M1_CARNIVORE,M2_HOSTILE | M2_STRONG,,CLR_CYAN,dogs & other canines,,
25,hell hound pup,S_DOG,7,12,4,20,-5,G_HELL | G_GENO | G_SGROUP | 1,"ATTK(AT_BITE, AD_PHYS, 2, 6)","ATTK(AT_BREA, AD_FIRE, 2, 6)",NO_ATTK,NO_ATTK,NO_ATTK,NO_ATTK,200,200,MS_BARK,MZ_SMALL,MR_FIRE,MR_FIRE,M1_ANIMAL | M1_NOHANDS | M1_CARNIVORE,M2_HOSTILE,M3_INFRAVISIBLE,CLR_RED,dogs & other canines,,
26,hell hound,S_DOG,12,14,2,20,0,G_HELL | G_GENO | 1,"ATTK(AT_BITE, AD_PHYS, 3, 6)","ATTK(AT_BREA, AD_FIRE, 3, 6)",NO_ATTK,NO_ATTK,NO_ATTK,NO_ATTK,600,300,MS_BARK,MZ_MEDIUM,MR_FIRE,MR_FIRE,M1_ANIMAL | M1_NOHANDS | M1_CARNIVORE,M2_HOSTILE | M2_STRONG,M3_INFRAVISIBLE,CLR_RED,dogs & other canines,,
27,Cerberus,S_DOG,12,10,2,20,-7,G_NOGEN | G_UNIQ | G_HELL,"ATTK(AT_BITE, AD_PHYS, 3, 6)","ATTK(AT_BITE, AD_PHYS, 3, 6)","ATTK(AT_BITE, AD_PHYS, 3, 6)",NO_ATTK,NO_ATTK,NO_ATTK,1000,350,MS_BARK,MZ_LARGE,MR_FIRE,MR_FIRE,M1_ANIMAL | M1_NOHANDS | M1_CARNIVORE,M2_NOPOLY | M2_HOSTILE | M2_STRONG | M2_PNAME | M2_MALE,M3_INFRAVISIBLE,CLR_RED,dogs & other canines,#ifdef CHARON,
28,gas spore,S_EYE,1,3,10,0,0,G_NOCORPSE | G_GENO | 1,"ATTK(AT_BOOM, AD_PHYS, 4, 6)",NO_ATTK,NO_ATTK,NO_ATTK,NO_ATTK,NO_ATTK,10,10,MS_SILENT,MZ_SMALL,,,M1_FLY | M1_BREATHLESS | M1_NOLIMBS | M1_NOHEAD | M1_MINDLESS,M2_HOSTILE | M2_NEUTER,,CLR_GRAY,eyes,,
29,floating eye,S_EYE,2,1,9,10,0,G_GENO | 5,"ATTK(AT_NONE, AD_PLYS, 0, 70)",NO_ATTK,NO_ATTK,NO_ATTK,NO_ATTK,NO_ATTK,10,10,MS_SILENT,MZ_SMALL,,,M1_FLY | M1_AMPHIBIOUS | M1_NOLIMBS | M1_NOHEAD | M1_NOTAKE,M2_HOSTILE | M2_NEUTER,M3_INFRAVISIBLE,CLR_BLUE,eyes,,
30,freezing sphere,S_EYE,6,13,4,0,0,G_NOCORPSE | G_NOHELL | G_GENO | 2,"ATTK(AT_EXPL, AD_COLD, 4, 6)",NO_ATTK,NO_ATTK,NO_ATTK,NO_ATTK,NO_ATTK,10,10,MS_SILENT,MZ_SMALL,MR_COLD,MR_COLD,M1_FLY | M1_BREATHLESS | M1_NOLIMBS | M1_NOHEAD | M1_MINDLESS| M1_NOTAKE,M2_HOSTILE | M2_NEUTER,M3_INFRAVISIBLE,CLR_WHITE,eyes,,
31,flaming sphere,S_EYE,6,13,4,0,0,G_NOCORPSE | G_GENO | 2,"ATTK(AT_EXPL, AD_FIRE, 4, 6)",NO_ATTK,NO_ATTK,NO_ATTK,NO_ATTK,NO_ATTK,10,10,MS_SILENT,MZ_SMALL,MR_FIRE,MR_FIRE,M1_FLY | M1_BREATHLESS | M1_NOLIMBS | M1_NOHEAD | M1_MINDLESS| M1_NOTAKE,M2_HOSTILE | M2_NEUTER,M3_INFRAVISIBLE,CLR_RED,eyes,,
32,shocking sphere,S_EYE,6,13,4,0,0,G_NOCORPSE | G_GENO | 2,"ATTK(AT_EXPL, AD_ELEC, 4, 6)",NO_ATTK,NO_ATTK,NO_ATTK,NO_ATTK,NO_ATTK,10,10,MS_SILENT,MZ_SMALL,MR_ELEC,MR_ELEC,M1_FLY | M1_BREATHLESS | M1_NOLIMBS | M1_NOHEAD | M1_MINDLESS| M1_NOTAKE,M2_HOSTILE | M2_NEUTER,M3_INFRAVISIBLE,HI_ZAP,eyes,,
33,beholder,S_EYE,6,3,4,0,-10,G_GENO | 2,"ATTK(AT_GAZE, AD_SLOW, 0, 0)","ATTK(AT_GAZE, AD_SLEE, 2,25)","ATTK(AT_GAZE, AD_DISN, 0, 0)","ATTK(AT_GAZE, AD_STON, 0, 0)","ATTK(AT_GAZE, AD_CNCL, 2, 4)","ATTK(AT_BITE, AD_PHYS, 2, 4)",10,10,MS_SILENT,MZ_SMALL,MR_COLD,,M1_FLY | M1_BREATHLESS | M1_NOLIMBS | M1_NOHEAD | M1_MINDLESS,M2_NOPOLY | M2_HOSTILE | M2_NEUTER,M3_INFRAVISIBLE,CLR_BROWN,eyes,not yet implemented,
34,kitten,S_FELINE,2,18,6,0,0,G_GENO | 1,"ATTK(AT_BITE, AD_PHYS, 1, 6)",NO_ATTK,NO_ATTK,NO_ATTK,NO_ATTK,NO_ATTK,150,150,MS_MEW,MZ_SMALL,,,M1_ANIMAL | M1_NOHANDS | M1_CARNIVORE,M2_WANDER | M2_DOMESTIC,M3_INFRAVISIBLE,HI_DOMESTIC,felines,,
35,housecat,S_FELINE,4,16,5,0,0,G_GENO | 1,"ATTK(AT_BITE, AD_PHYS, 1, 6)",NO_ATTK,NO_ATTK,NO_ATTK,NO_ATTK,NO_ATTK,200,200,MS_MEW,MZ_SMALL,,,M1_ANIMAL | M1_NOHANDS | M1_CARNIVORE,M2_DOMESTIC,M3_INFRAVISIBLE,HI_DOMESTIC,felines,,
36,jaguar,S_FELINE,4,15,6,0,0,G_GENO | 2,"ATTK(AT_CLAW, AD_PHYS, 1, 4)","ATTK(AT_CLAW, AD_PHYS, 1, 4)","ATTK(AT_BITE, AD_PHYS, 1, 8)",NO_ATTK,NO_ATTK,NO_ATTK,600,300,MS_GROWL,MZ_LARGE,,,M1_ANIMAL | M1_NOHANDS | M1_CARNIVORE,M2_HOSTILE,M3_INFRAVISIBLE,CLR_BROWN,felines,,
37,lynx,S_FELINE,5,15,6,0,0,G_GENO | 1,"ATTK(AT_CLAW, AD_PHYS, 1, 4)","ATTK(AT_CLAW, AD_PHYS, 1, 4)","ATTK(AT_BITE, AD_PHYS, 1, 10)",NO_ATTK,NO_ATTK,NO_ATTK,600,300,MS_GROWL,MZ_SMALL,,,M1_ANIMAL | M1_NOHANDS | M1_CARNIVORE,M2_HOSTILE,M3_INFRAVISIBLE,CLR_CYAN,felines,,
38,panther,S_FELINE,5,15,6,0,0,G_GENO | 1,"ATTK(AT_CLAW, AD_PHYS, 1, 6)","ATTK(AT_CLAW, AD_PHYS, 1, 6)","ATTK(AT_BITE, AD_PHYS, 1, 10)",NO_ATTK,NO_ATTK,NO_ATTK,600,300,MS_GROWL,MZ_LARGE,,,M1_ANIMAL | M1_NOHANDS | M1_CARNIVORE,M2_HOSTILE,M3_INFRAVISIBLE,CLR_BLACK,felines,,
39,large cat,S_FELINE,6,15,4,0,0,G_GENO | 1,"ATTK(AT_BITE, AD_PHYS, 2, 4)",NO_ATTK,NO_ATTK,NO_ATTK,NO_ATTK,NO_ATTK,250,250,MS_MEW,MZ_SMALL,,,M1_ANIMAL | M1_NOHANDS | M1_CARNIVORE,M2_STRONG | M2_DOMESTIC,M3_INFRAVISIBLE,HI_DOMESTIC,felines,,
40,tiger,S_FELINE,6,12,6,0,0,G_GENO | 2,"ATTK(AT_CLAW, AD_PHYS, 2, 4)","ATTK(AT_CLAW, AD_PHYS, 2, 4)","ATTK(AT_BITE, AD_PHYS, 1, 10)",NO_ATTK,NO_ATTK,NO_ATTK,600,300,MS_GROWL,MZ_LARGE,,,M1_ANIMAL | M1_NOHANDS | M1_CARNIVORE,M2_HOSTILE,M3_INFRAVISIBLE,CLR_YELLOW,felines,,
41,gremlin,S_GREMLIN,5,12,2,25,-9,G_GENO | 2,"ATTK(AT_CLAW, AD_PHYS, 1, 6)","ATTK(AT_CLAW, AD_PHYS, 1, 6)","ATTK(AT_BITE, AD_PHYS, 1, 4)","ATTK(AT_CLAW, AD_CURS, 0, 0)",NO_ATTK,NO_ATTK,100,20,MS_LAUGH,MZ_SMALL,MR_POISON,MR_POISON,M1_SWIM | M1_HUMANOID | M1_POIS,M2_STALK,M3_INFRAVISIBLE,CLR_GREEN,gremlins and gargoyles,,
42,gargoyle,S_GREMLIN,6,10,-4,0,-9,G_GENO | 2,"ATTK(AT_CLAW, AD_PHYS, 2, 6)","ATTK(AT_CLAW, AD_PHYS, 2, 6)","ATTK(AT_BITE, AD_PHYS, 2, 4)",NO_ATTK,NO_ATTK,NO_ATTK,1000,200,MS_GRUNT,MZ_HUMAN,MR_STONE,MR_STONE,M1_HUMANOID | M1_THICK_HIDE | M1_BREATHLESS,M2_HOSTILE | M2_STRONG,,CLR_BROWN,gremlins and gargoyles,,
43,winged gargoyle,S_GREMLIN,9,15,-2,0,-12,G_GENO | 1,"ATTK(AT_CLAW, AD_PHYS, 3, 6)","ATTK(AT_CLAW, AD_PHYS, 3, 6)","ATTK(AT_BITE, AD_PHYS, 3, 4)",NO_ATTK,NO_ATTK,NO_ATTK,1200,300,MS_GRUNT,MZ_HUMAN,MR_STONE,MR_STONE,M1_FLY | M1_HUMANOID | M1_THICK_HIDE | M1_BREATHLESS | M1_OVIPAROUS,M2_LORD | M2_HOSTILE | M2_STRONG | M2_MAGIC,,HI_LORD,gremlins and gargoyles,,
44,hobbit,S_HUMANOID,1,9,10,0,6,G_GENO | 2,"ATTK(AT_WEAP, AD_PHYS, 1, 6)",NO_ATTK,NO_ATTK,NO_ATTK,NO_ATTK,NO_ATTK,500,200,MS_HUMANOID,MZ_SMALL,,,M1_HUMANOID | M1_OMNIVORE,M2_COLLECT,M3_INFRAVISIBLE | M3_INFRAVISION,CLR_GREEN,humanoids,,
45,dwarf,S_HUMANOID,2,6,10,10,4,G_GENO | 3,"ATTK(AT_WEAP, AD_PHYS, 1, 8)",NO_ATTK,NO_ATTK,NO_ATTK,NO_ATTK,NO_ATTK,900,300,MS_HUMANOID,MZ_HUMAN,,,M1_TUNNEL | M1_NEEDPICK | M1_HUMANOID | M1_OMNIVORE,M2_NOPOLY | M2_DWARF | M2_STRONG | M2_GREEDY | M2_JEWELS | M2_COLLECT,M3_INFRAVISIBLE | M3_INFRAVISION,CLR_RED,humanoids,,
46,bugbear,S_HUMANOID,3,9,5,0,-6,G_GENO | 1,"ATTK(AT_WEAP, AD_PHYS, 2, 4)",NO_ATTK,NO_ATTK,NO_ATTK,NO_ATTK,NO_ATTK,1250,250,MS_GROWL,MZ_LARGE,,,M1_HUMANOID | M1_OMNIVORE,M2_STRONG | M2_COLLECT,M3_INFRAVISIBLE | M3_INFRAVISION,CLR_BROWN,humanoids,,
47,dwarf lord,S_HUMANOID,4,6,10,10,5,G_GENO | 2,"ATTK(AT_WEAP, AD_PHYS, 2, 4)","ATTK(AT_WEAP, AD_PHYS, 2, 4)",NO_ATTK,NO_ATTK,NO_ATTK,NO_ATTK,900,300,MS_HUMANOID,MZ_HUMAN,,,M1_TUNNEL | M1_NEEDPICK | M1_HUMANOID | M1_OMNIVORE,M2_DWARF | M2_STRONG | M2_LORD | M2_MALE | M2_GREEDY | M2_JEWELS| M2_COLLECT,M3_INFRAVISIBLE | M3_INFRAVISION,CLR_BLUE,humanoids,,
48,dwarf king,S_HUMANOID,6,6,10,20,6,G_GENO | 1,"ATTK(AT_WEAP, AD_PHYS, 2, 6)","ATTK(AT_WEAP, AD_PHYS, 2, 6)",NO_ATTK,NO_ATTK,NO_ATTK,NO_ATTK,900,300,MS_HUMANOID,MZ_HUMAN,,,M1_TUNNEL | M1_NEEDPICK | M1_HUMANOID | M1_OMNIVORE,M2_DWARF | M2_STRONG | M2_PRINCE | M2_MALE | M2_GREEDY | M2_JEWELS| M2_COLLECT,M3_INFRAVISIBLE | M3_INFRAVISION,HI_LORD,humanoids,,
49,mind flayer,S_HUMANOID,9,12,5,90,-8,G_GENO | 1,"ATTK(AT_WEAP, AD_PHYS, 1, 4)","ATTK(AT_TENT, AD_DRIN, 2, 1)","ATTK(AT_TENT, AD_DRIN, 2, 1)","ATTK(AT_TENT, AD_DRIN, 2, 1)",NO_ATTK,NO_ATTK,1450,400,MS_HISS,MZ_HUMAN,,,M1_HUMANOID | M1_FLY | M1_SEE_INVIS | M1_OMNIVORE,M2_HOSTILE | M2_NASTY | M2_GREEDY | M2_JEWELS | M2_COLLECT,M3_INFRAVISIBLE | M3_INFRAVISION,CLR_MAGENTA,humanoids,,
50,master mind flayer,S_HUMANOID,13,12,0,90,-8,G_GENO | 1,"ATTK(AT_WEAP, AD_PHYS, 1, 8)","ATTK(AT_TENT, AD_DRIN, 2, 1)","ATTK(AT_TENT, AD_DRIN, 2, 1)","ATTK(AT_TENT, AD_DRIN, 2, 1)","ATTK(AT_TENT, AD_DRIN, 2, 1)","ATTK(AT_TENT, AD_DRIN, 2, 1)",1450,400,MS_HISS,MZ_HUMAN,,,M1_HUMANOID | M1_FLY | M1_SEE_INVIS | M1_OMNIVORE,M2_HOSTILE | M2_NASTY | M2_GREEDY | M2_JEWELS | M2_COLLECT,M3_INFRAVISIBLE | M3_INFRAVISION,CLR_MAGENTA,humanoids,,
51,manes,S_IMP,1,3,7,0,-7,G_GENO | G_LGROUP | G_NOCORPSE | 1,"ATTK(AT_CLAW, AD_PHYS, 1, 3)","ATTK(AT_CLAW, AD_PHYS, 1, 3)","ATTK(AT_BITE, AD_PHYS, 1, 4)",NO_ATTK,NO_ATTK,NO_ATTK,100,100,MS_SILENT,MZ_SMALL,MR_SLEEP | MR_POISON,,M1_POIS,M2_HOSTILE | M2_STALK,M3_INFRAVISIBLE | M3_INFRAVISION,CLR_RED,imps & other minor demons/devils,,
52,homunculus,S_IMP,2,12,6,10,-7,G_GENO | 2,"ATTK(AT_BITE, AD_SLEE, 1, 3)",NO_ATTK,NO_ATTK,NO_ATTK,NO_ATTK,NO_ATTK,60,100,MS_SILENT,MZ_TINY,MR_SLEEP | MR_POISON,MR_SLEEP | MR_POISON,M1_FLY | M1_POIS,M2_STALK,M3_INFRAVISIBLE | M3_INFRAVISION,CLR_GREEN,imps & other minor demons/devils,,
53,imp,S_IMP,3,12,2,20,-7,G_GENO | 1,"ATTK(AT_CLAW, AD_PHYS, 1, 4)",NO_ATTK,NO_ATTK,NO_ATTK,NO_ATTK,NO_ATTK,20,10,MS_CUSS,MZ_TINY,,,M1_REGEN,M2_WANDER | M2_STALK,M3_INFRAVISIBLE | M3_INFRAVISION,CLR_RED,imps & other minor demons/devils,,
54,lemure,S_IMP,3,3,7,0,-7,G_HELL | G_GENO | G_LGROUP | G_NOCORPSE | 1,"ATTK(AT_CLAW, AD_PHYS, 1, 3)",NO_ATTK,NO_ATTK,NO_ATTK,NO_ATTK,NO_ATTK,150,100,MS_SILENT,MZ_MEDIUM,MR_SLEEP | MR_POISON,MR_SLEEP,M1_POIS | M1_REGEN,M2_HOSTILE | M2_WANDER | M2_STALK | M2_NEUTER,M3_INFRAVISIBLE | M3_INFRAVISION,CLR_BROWN,imps & other minor demons/devils,,
55,quasit,S_IMP,3,15,2,20,-7,G_GENO | 2,"ATTK(AT_CLAW, AD_DRDX, 1, 2)","ATTK(AT_CLAW, AD_DRDX, 1, 2)","ATTK(AT_BITE, AD_PHYS, 1, 4)",NO_ATTK,NO_ATTK,NO_ATTK,200,200,MS_SILENT,MZ_SMALL,MR_POISON,MR_POISON,M1_REGEN,M2_STALK,M3_INFRAVISIBLE | M3_INFRAVISION,CLR_BLUE,imps & other minor demons/devils,,
56,tengu,S_IMP,6,13,5,30,7,G_GENO | 3,"ATTK(AT_BITE, AD_PHYS, 1, 7)",NO_ATTK,NO_ATTK,NO_ATTK,NO_ATTK,NO_ATTK,300,200,MS_SQAWK,MZ_SMALL,MR_POISON,MR_POISON,M1_TPORT | M1_TPORT_CNTRL,M2_STALK,M3_INFRAVISIBLE | M3_INFRAVISION,CLR_CYAN,imps & other minor demons/devils,,
